suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place
spatial,scene_0000,control,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0171,akita_black_bowl_1,plate_1,True,True,depth,0.9121,0.9117
spatial,scene_0001,control,auto,oracle,tokens,0,False,,200,True,True,171,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0251,akita_black_bowl_1,plate_1,True,True,depth,0.9132,0.9119
spatial,scene_0002,control,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0246,akita_black_bowl_1,plate_1,True,True,depth,0.9124,0.9119
spatial,scene_0003,control,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0183,akita_black_bowl_1,plate_1,True,True,depth,0.9124,0.9111
spatial,scene_0004,control,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.021,akita_black_bowl_1,plate_1,True,True,depth,0.9128,0.9106
spatial,scene_0005,referential,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0198,akita_black_bowl_2,plate_1,True,True,depth,0.9131,0.9114
spatial,scene_0006,referential,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.009,akita_black_bowl_1,plate_1,True,True,depth,0.911,0.9117
spatial,scene_0007,referential,auto,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.3628,akita_black_bowl_1,plate_1,,,depth,0.9121,0.9137
spatial,scene_0008,referential,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0248,akita_black_bowl_2,plate_1,True,True,depth,0.9137,0.9122
spatial,scene_0009,referential,auto,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0267,akita_black_bowl_2,plate_1,True,True,depth,0.9143,0.9112
spatial,scene_0010,referential,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_3,True,plate_1,True,0.0138,akita_black_bowl_3,plate_1,True,True,depth,0.9149,0.912
spatial,scene_0011,referential,auto,oracle,tokens,0,False,,200,True,True,148,True,True,True,akita_black_bowl_3,True,plate_1,True,0.0185,akita_black_bowl_3,plate_1,True,True,depth,0.9166,0.9107
spatial,scene_0012,referential,auto,oracle,tokens,0,False,,200,True,True,178,True,True,True,akita_black_bowl_4,True,plate_1,True,0.0218,akita_black_bowl_4,plate_1,True,True,depth,0.9267,0.9113
spatial,scene_0013,referential,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0166,akita_black_bowl_2,plate_1,True,True,depth,0.9152,0.9109
spatial,scene_0014,referential,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_5,True,plate_1,True,0.0238,akita_black_bowl_5,plate_1,True,True,depth,0.9195,0.9111
spatial,scene_0015,referential,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0132,akita_black_bowl_2,plate_1,True,True,depth,0.9109,0.9118
spatial,scene_0016,referential,auto,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0335,akita_black_bowl_2,plate_1,True,True,depth,0.9216,0.9108
spatial,scene_0017,directional,auto,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.2592,akita_black_bowl_1,plate_1,,,depth,0.9329,0.9104
spatial,scene_0018,directional,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0241,akita_black_bowl_1,plate_1,True,True,depth,0.9109,0.9109
spatial,scene_0019,directional,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_2,True,0.0131,akita_black_bowl_1,plate_2,True,True,depth,0.9144,0.9118
