suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,n_infer_calls,infer_ms_mean,pi05_sketch_mode
spatial,scene_0000,control,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0242,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0000,control,human:aaron_test,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0134,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0000,control,human_consensus,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0137,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0001,control,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0098,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0001,control,human:aaron_test,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0161,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0001,control,human_consensus,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0156,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0008,referential,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0262,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0008,referential,human:aaron_test,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_3,False,plate_1,True,0.0163,akita_black_bowl_3,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0008,referential,human_consensus,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_3,False,plate_1,True,0.0169,akita_black_bowl_3,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0009,referential,auto,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0331,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0009,referential,human:aaron_test,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_1,False,plate_1,True,0.0064,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0009,referential,human_consensus,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_1,False,plate_1,True,0.0068,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0012,referential,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_4,True,plate_1,True,0.0132,akita_black_bowl_4,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0012,referential,human:aaron_test,oracle,tokens,0,False,,200,False,False,166,True,True,True,akita_black_bowl_4,True,plate_1,True,0.0263,akita_black_bowl_4,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0012,referential,human_consensus,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_4,True,plate_1,True,0.0261,akita_black_bowl_4,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0016,referential,auto,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.2359,akita_black_bowl_2,plate_1,,,plane,0.92,0.92,,,
spatial,scene_0016,referential,human:aaron_test,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_4,False,plate_1,True,0.0135,akita_black_bowl_4,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0016,referential,human_consensus,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_4,False,plate_1,True,0.0117,akita_black_bowl_4,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0017,directional,auto,oracle,tokens,0,False,,200,True,True,165,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0131,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0017,directional,human:aaron_test,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.2506,akita_black_bowl_1,plate_1,,,plane,0.92,0.92,,,
spatial,scene_0017,directional,human_consensus,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.2523,akita_black_bowl_1,plate_1,,,plane,0.92,0.92,,,
spatial,scene_0021,directional,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0025,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0021,directional,human:aaron_test,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_1,True,plate_2,False,0.015,akita_black_bowl_1,plate_2,True,True,plane,0.92,0.92,,,
spatial,scene_0021,directional,human_consensus,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_1,True,plate_2,False,0.0143,akita_black_bowl_1,plate_2,True,True,plane,0.92,0.92,,,
spatial,scene_0025,directional,auto,oracle,tokens,0,False,,200,True,True,165,True,True,True,akita_black_bowl_1,True,plate_3,True,0.0207,akita_black_bowl_1,plate_3,True,True,plane,0.92,0.92,,,
spatial,scene_0025,directional,human:aaron_test,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,False,0.0125,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0025,directional,human_consensus,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,False,0.0157,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0029,both,auto,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.2359,akita_black_bowl_3,plate_2,,,plane,0.92,0.92,,,
spatial,scene_0029,both,human:aaron_test,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_1,False,plate_1,False,0.0163,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0029,both,human_consensus,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_1,False,plate_1,False,0.0167,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0030,both,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_2,True,plate_1,True,0.009,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92,,,
spatial,scene_0030,both,human:aaron_test,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_3,False,plate_2,False,0.0259,akita_black_bowl_3,plate_2,True,True,plane,0.92,0.92,,,
spatial,scene_0030,both,human_consensus,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_3,False,plate_2,False,0.0266,akita_black_bowl_3,plate_2,True,True,plane,0.92,0.92,,,
