suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place
spatial,scene_0000,control,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0242,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92
spatial,scene_0001,control,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0098,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92
spatial,scene_0002,control,auto,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,True,0.031,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92
spatial,scene_0003,control,auto,oracle,tokens,0,False,,200,True,True,165,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0238,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92
spatial,scene_0004,control,auto,oracle,tokens,0,False,,200,True,True,165,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0255,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92
spatial,scene_0005,referential,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0252,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92
spatial,scene_0006,referential,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0117,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92
spatial,scene_0007,referential,auto,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.3627,akita_black_bowl_1,plate_1,,,plane,0.92,0.92
spatial,scene_0008,referential,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0262,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92
spatial,scene_0009,referential,auto,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0331,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92
spatial,scene_0010,referential,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_3,True,plate_1,True,0.0089,akita_black_bowl_3,plate_1,True,True,plane,0.92,0.92
spatial,scene_0011,referential,auto,oracle,tokens,0,False,,200,True,True,149,True,True,True,akita_black_bowl_3,True,plate_1,True,0.0184,akita_black_bowl_3,plate_1,True,True,plane,0.92,0.92
spatial,scene_0012,referential,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_4,True,plate_1,True,0.0132,akita_black_bowl_4,plate_1,True,True,plane,0.92,0.92
spatial,scene_0013,referential,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0183,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92
spatial,scene_0014,referential,auto,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_5,True,plate_1,True,0.03,akita_black_bowl_5,plate_1,True,True,plane,0.92,0.92
spatial,scene_0015,referential,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0091,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92
spatial,scene_0016,referential,auto,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.2359,akita_black_bowl_2,plate_1,,,plane,0.92,0.92
spatial,scene_0017,directional,auto,oracle,tokens,0,False,,200,True,True,165,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0131,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92
spatial,scene_0018,directional,auto,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,True,0.028,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92
spatial,scene_0019,directional,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_2,True,0.0132,akita_black_bowl_1,plate_2,True,True,plane,0.92,0.92
spatial,scene_0020,directional,auto,oracle,tokens,0,False,,200,True,True,159,True,True,True,akita_black_bowl_1,True,plate_3,True,0.0138,akita_black_bowl_1,plate_3,True,True,plane,0.92,0.92
spatial,scene_0021,directional,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0025,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92
spatial,scene_0022,directional,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_3,True,0.0059,akita_black_bowl_1,plate_3,True,True,plane,0.92,0.92
spatial,scene_0023,directional,auto,oracle,tokens,0,False,,200,True,True,170,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0173,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92
spatial,scene_0024,directional,auto,oracle,tokens,0,False,,200,True,True,165,True,True,True,akita_black_bowl_1,True,plate_3,True,0.0204,akita_black_bowl_1,plate_3,True,True,plane,0.92,0.92
spatial,scene_0025,directional,auto,oracle,tokens,0,False,,200,True,True,165,True,True,True,akita_black_bowl_1,True,plate_3,True,0.0207,akita_black_bowl_1,plate_3,True,True,plane,0.92,0.92
spatial,scene_0026,both,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0135,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92
spatial,scene_0027,both,auto,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.1464,akita_black_bowl_3,plate_2,,,plane,0.92,0.92
spatial,scene_0028,both,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0196,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92
spatial,scene_0029,both,auto,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.2359,akita_black_bowl_3,plate_2,,,plane,0.92,0.92
spatial,scene_0030,both,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_2,True,plate_1,True,0.009,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92
spatial,scene_0031,both,auto,oracle,tokens,0,False,,200,True,True,158,True,True,True,akita_black_bowl_1,True,plate_2,True,0.009,akita_black_bowl_1,plate_2,True,True,plane,0.92,0.92
spatial,scene_0032,both,auto,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0718,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92
spatial,scene_0033,both,auto,oracle,tokens,0,False,,200,True,True,163,True,True,True,akita_black_bowl_3,True,plate_3,True,0.0145,akita_black_bowl_3,plate_3,True,True,plane,0.92,0.92
spatial,scene_0034,both,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0228,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92
spatial,scene_0035,both,auto,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_4,True,plate_2,True,0.0322,akita_black_bowl_4,plate_2,True,True,plane,0.92,0.92
spatial,scene_0036,both,auto,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.104,akita_black_bowl_4,plate_2,,,plane,0.92,0.92
spatial,scene_0037,both,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_5,True,plate_1,True,0.0114,akita_black_bowl_5,plate_1,True,True,plane,0.92,0.92
object,scene_0000,control,auto,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.3036,milk_1,basket_1,,,plane,0.065,0.065
object,scene_0001,control,auto,oracle,tokens,0,False,,200,True,True,150,True,True,True,alphabet_soup_1,True,basket_1,True,0.0056,alphabet_soup_1,basket_1,True,True,plane,0.065,0.065
object,scene_0002,control,auto,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.3591,tomato_sauce_1,basket_1,,,plane,0.065,0.065
object,scene_0003,control,auto,oracle,tokens,0,False,,200,True,True,146,True,True,True,orange_juice_1,True,basket_1,True,0.0139,orange_juice_1,basket_1,True,True,plane,0.065,0.065
object,scene_0004,control,auto,oracle,tokens,0,False,,200,False,False,,True,True,True,ketchup_1,True,,False,0.1182,ketchup_1,basket_1,True,,plane,0.065,0.065
object,scene_0005,referential,auto,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.4392,bbq_sauce_1,basket_1,,,plane,0.065,0.065
object,scene_0006,referential,auto,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.4465,salad_dressing_1,basket_1,,,plane,0.065,0.065
object,scene_0007,referential,auto,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.5179,chocolate_pudding_2,basket_1,,,plane,0.065,0.065
object,scene_0008,referential,auto,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.2731,cream_cheese_3,basket_1,,,plane,0.065,0.065
object,scene_0009,referential,auto,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.4102,butter_2,basket_1,,,plane,0.065,0.065
object,scene_0010,referential,auto,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.5555,milk_2,basket_1,,,plane,0.065,0.065
object,scene_0011,referential,auto,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.4614,butter_1,basket_1,,,plane,0.065,0.065
object,scene_0012,referential,auto,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.3068,alphabet_soup_3,basket_1,,,plane,0.065,0.065
object,scene_0013,referential,auto,oracle,tokens,0,False,,200,False,False,,True,False,False,,False,,False,0.234,tomato_sauce_2,basket_1,,,plane,0.065,0.065
